City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
102,Rovnoye,50.7765,46.0509,20.62,94,98,5.08,RU,2023-01-18 03:03:26
103,Chuy,-33.6971,-53.4616,68.34,81,0,7.9,UY,2023-01-18 03:03:27
104,Esperance,-33.8667,121.9,64.94,50,92,15.23,AU,2023-01-18 03:03:28
105,Srandakan,-7.9386,110.2506,80.83,78,100,5.46,ID,2023-01-18 03:03:28
106,Pec,42.6591,20.2883,46.49,99,100,8.1,XK,2023-01-18 03:03:29
107,Hobyo,5.3505,48.5268,75.54,76,52,14.12,SO,2023-01-18 03:03:29
108,Nouadhibou,20.931,-17.0347,65.55,67,99,16.67,MR,2023-01-18 03:03:31
109,Tura,25.5198,90.2201,62.6,39,0,1.41,IN,2023-01-18 03:03:31
110,Cayenne,4.9333,-52.3333,73.44,100,100,0.0,GF,2023-01-18 03:01:41
111,Oliver,49.1831,-119.5524,32.88,95,87,2.71,CA,2023-01-18 03:03:32
112,Tiznit,29.5833,-9.5,50.83,80,65,9.28,MA,2023-01-18 03:03:33
113,Tuy Hoa,13.0833,109.3,72.27,85,100,15.1,VN,2023-01-18 03:03:34
114,Yulara,-25.2406,130.9889,95.16,29,8,17.4,AU,2023-01-18 03:03:34
115,Petropavlovka,50.6114,105.3196,6.89,93,100,0.87,RU,2023-01-18 03:03:35
116,Longyearbyen,78.2186,15.6401,12.04,67,0,13.8,SJ,2023-01-18 03:03:35
117,Narsaq,60.9167,-46.05,12.42,71,100,6.58,GL,2023-01-18 03:03:17
118,Heihe,50.2441,127.4902,-25.02,98,100,6.11,CN,2023-01-18 03:03:36
119,Lamu,-2.2717,40.902,73.62,80,99,10.4,KE,2023-01-18 03:03:37
120,Halifax,44.6453,-63.5724,36.5,96,100,8.99,CA,2023-01-18 03:02:37
121,Souillac,-20.5167,57.5167,78.01,83,92,18.66,MU,2023-01-18 03:03:37
122,Myitkyina,25.3833,97.4,66.13,41,0,2.35,MM,2023-01-18 03:03:38
123,Sioux Lookout,50.1001,-91.917,2.3,99,90,3.85,CA,2023-01-18 03:00:13
124,Santa Maria,-29.6842,-53.8069,72.82,77,0,11.59,BR,2023-01-18 03:03:39
125,Bambous Virieux,-20.3428,57.7575,80.22,83,88,19.82,MU,2023-01-18 03:03:39
126,Caravelas,-17.7125,-39.2481,74.14,90,9,3.44,BR,2023-01-18 03:03:40
127,Bonthe,7.5264,-12.505,74.39,85,8,3.15,SL,2023-01-18 03:03:41
128,Latung,5.5,120.8833,80.6,74,81,5.44,PH,2023-01-18 03:03:41
129,Chokurdakh,70.6333,147.9167,-36.27,100,40,4.23,RU,2023-01-18 03:03:42
130,Bundaberg,-24.85,152.35,84.22,61,66,5.99,AU,2023-01-18 03:03:42
131,Kinshasa,-4.3246,15.3215,70.09,90,100,0.98,CD,2023-01-18 03:03:43
132,Hammerfest,70.6634,23.6821,32.45,64,72,4.61,NO,2023-01-18 02:59:46
133,Kapaa,22.0752,-159.319,80.92,72,0,9.22,US,2023-01-18 03:03:44
134,Qaanaaq,77.484,-69.3632,-19.17,87,90,5.99,GL,2023-01-18 03:03:45
135,Hokitika,-42.7167,170.9667,68.99,68,14,7.81,NZ,2023-01-18 03:03:46
136,Khatanga,71.9667,102.5,-36.54,100,42,5.44,RU,2023-01-18 03:03:46
137,Krasnoarmeysk,51.0239,45.6969,11.21,99,90,5.23,RU,2023-01-18 03:03:47
138,Hoogstraten,51.4021,4.7618,32.79,78,76,5.01,BE,2023-01-18 03:03:47
139,Guangyuan,32.442,105.823,41.22,32,63,2.98,CN,2023-01-18 03:03:48
140,Pirgos,35.1167,25.7178,62.62,65,75,16.51,GR,2023-01-18 03:03:48
141,Eyl,7.9803,49.8164,72.1,77,48,13.33,SO,2023-01-18 03:04:49
142,Bethel,41.3712,-73.414,43.48,56,100,3.44,US,2023-01-18 03:04:12
143,Clyde River,70.4692,-68.5914,-21.87,100,95,6.17,CA,2023-01-18 03:04:49
144,Baykit,61.67,96.37,-45.36,99,31,2.24,RU,2023-01-18 03:04:50
145,Rapid Valley,44.0625,-103.1463,32.63,97,100,6.91,US,2023-01-18 03:04:50
146,Egvekinot,66.3167,-179.1667,-21.69,85,12,12.26,RU,2023-01-18 03:04:51
147,Forrest City,35.0081,-90.7898,58.62,94,98,7.11,US,2023-01-18 03:04:51
148,Ancud,-41.8697,-73.8203,53.44,91,97,2.46,CL,2023-01-18 03:04:51
149,Teeli,51.0333,90.2333,6.1,73,57,6.06,RU,2023-01-18 03:04:52
150,Gaoua,10.2992,-3.2508,70.34,20,3,4.92,BF,2023-01-18 03:02:24
151,Arraial Do Cabo,-22.9661,-42.0278,73.76,93,0,17.13,BR,2023-01-18 03:04:52
152,Zatyshshya,47.3335,29.8733,46.04,94,96,20.49,UA,2023-01-18 03:04:53
153,Tiksi,71.6872,128.8694,-21.95,100,100,5.41,RU,2023-01-18 03:04:53
154,Laguna,38.421,-121.4238,48.31,82,0,5.75,US,2023-01-18 03:04:54
155,Mahebourg,-20.4081,57.7,80.26,83,83,20.07,MU,2023-01-18 03:04:54
156,Luangwa,-15.6167,30.4167,69.71,97,99,1.7,ZM,2023-01-18 03:04:54
157,Tuktoyaktuk,69.4541,-133.0374,-11.43,98,92,7.72,CA,2023-01-18 03:03:27
158,Iskateley,67.6803,53.1512,20.1,94,99,15.19,RU,2023-01-18 03:04:55
159,Tarakan,3.3,117.6333,80.42,77,100,1.57,ID,2023-01-18 03:04:56
160,Kodinsk,58.6881,99.1844,-42.32,99,23,3.24,RU,2023-01-18 03:04:56
161,Oussouye,12.485,-16.5469,74.1,27,73,7.47,SN,2023-01-18 03:04:57
162,Hirara,24.8,125.2833,65.77,71,100,18.59,JP,2023-01-18 03:04:57
163,Ravar,31.2656,56.8055,36.52,99,100,4.21,IR,2023-01-18 03:04:57
164,Nome,64.5011,-165.4064,-9.33,70,40,8.05,US,2023-01-18 03:04:58
165,Kirakira,-10.4544,161.9205,81.97,82,100,11.61,SB,2023-01-18 03:04:58
166,Bantry,51.6833,-9.45,37.78,83,76,11.41,IE,2023-01-18 03:04:59
167,Arlit,18.7369,7.3853,56.5,23,1,5.1,NE,2023-01-18 03:04:59
168,Dali,25.7,100.1833,50.97,45,1,3.76,CN,2023-01-18 03:05:00
169,Abengourou,6.7297,-3.4964,68.45,98,12,2.17,CI,2023-01-18 03:01:20
170,Werda,-25.2667,23.2833,73.63,54,10,8.9,BW,2023-01-18 03:05:00
171,Savinskiy,62.9342,40.1361,11.91,97,91,4.83,RU,2023-01-18 03:05:01
172,Nelson Bay,-32.7167,152.15,89.65,67,3,24.0,AU,2023-01-18 03:05:02
173,Takoradi,4.8845,-1.7554,78.66,85,63,5.14,GH,2023-01-18 03:05:05
174,Hithadhoo,-0.6,73.0833,80.67,66,2,3.96,MV,2023-01-18 03:05:06
175,Westport,41.1415,-73.3579,45.55,71,95,6.11,US,2023-01-18 03:00:14
176,Jibuti,11.5,42.5,65.64,82,24,7.27,DJ,2023-01-18 03:05:10
177,Pevek,69.7008,170.3133,-36.99,100,60,4.27,RU,2023-01-18 03:05:10
178,Tasiilaq,65.6145,-37.6368,12.36,72,68,9.48,GL,2023-01-18 03:05:11
179,Kamenka,51.3223,42.7678,22.68,93,99,14.5,RU,2023-01-18 03:05:12
180,San Marcos,33.1434,-117.1661,51.62,83,0,3.0,US,2023-01-18 03:05:12
181,Bathsheba,13.2167,-59.5167,75.9,70,63,12.48,BB,2023-01-18 03:01:09
182,High Prairie,55.4334,-116.4858,15.58,96,39,5.01,CA,2023-01-18 03:00:56
183,Fortuna,40.5982,-124.1573,47.66,90,100,0.0,US,2023-01-18 03:05:13
184,Lebu,-37.6167,-73.65,54.99,92,10,9.89,CL,2023-01-18 03:03:14
185,Aykhal,66.0,111.5,-46.23,100,99,7.23,RU,2023-01-18 03:05:14
186,Coquimbo,-29.9533,-71.3436,62.33,82,0,2.3,CL,2023-01-18 03:03:41
187,Faya,18.3851,42.4509,50.52,86,66,5.06,SA,2023-01-18 03:06:15
188,Baruun-Urt,46.6806,113.2792,3.58,81,91,4.45,MN,2023-01-18 03:06:16
189,Sampit,-2.5333,112.95,81.12,80,100,3.0,ID,2023-01-18 03:06:16
190,Paamiut,61.994,-49.6678,19.24,69,100,8.59,GL,2023-01-18 03:06:17
191,Sitka,57.0531,-135.33,40.89,75,100,14.97,US,2023-01-18 03:06:17
192,Atar,20.5169,-13.0499,67.05,17,92,7.25,MR,2023-01-18 03:02:24
193,Vidim,56.4088,103.1106,-16.46,95,100,7.0,RU,2023-01-18 03:06:18
